,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
226,OPI,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00086,17:30,2.0,1,0.0, ,0.0078
227,OPL,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00110,17:30,1.0,1,0.0, ,0.0035
228,OSD,09:00,1.0,1,125000.0,İşlem Görüyor, ,TRYOSMP00029,17:30,1.0,1,0.0, ,0.0075
229,OSL,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYONCM00010,13:30,0.0,1,0.0, ,0.006
230,OTK,09:00,1.0,1,1000000.0,İşlem Görüyor, ,TRYOYKP00013,17:30,1.0,1,1000000.0, ,0.0084
231,OUD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00128,17:00,3.0,1,0.0, ,0.0088
232,PAL,09:00,1.0,1,9000000000000000.0,İşlem Görüyor, ,TRYAKPO00708,17:45,3.0,1,9000000000000.0, ,0.0001
233,PBK,09:00,1.0,10,500000.0,İşlem Görüyor, ,TRYQPYS00078,12:30,3.0,10,500000.0, ,0.005
234,PDD,09:00,1.0,10,100000000.0,İşlem Görüyor, ,TRYQPYS00060,12:30,1.0,1,100000000.0, ,0.0075
235,PPF,09:00,1.0,1,10000000000.0,"Fon Alımına Kapalı, Fon Bozumuna Açık", ,TRYAZIM00309,17:00,1.0,1,0.0, ,0.0041
236,PPZ,09:00,0.0,1,2780000000.0,İşlem Görüyor, ,TRYAZIM00341,13:30,0.0,1,0.0, ,0.0012
237,PVK,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYAPYS00098,12:30,0.0,1,0.0, ,0.0023
238,RBA,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00049,17:00,1.0,1,0.0, ,0.0037
239,RBH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00023,17:00,2.0,1,0.0, ,0.0092
240,RBK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00031,17:00,3.0,1,0.0, ,0.004
241,RBT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00056,17:00,1.0,1,0.0, ,0.0093
242,RPD,09:00,1.0,1,10000000.0,İşlem Görüyor, ,TRYRGGS00288,17:00,2.0,1,900000.0, ,0.0063
243,ST1,09:00,1.0,1,30000000.0,İşlem Görüyor, ,TRMST1WWWWW8,16:30,2.0,1,30000000.0, ,0.0091
244,SUA,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYDUUM00010,17:30,2.0,100,0.0, ,0.0051
245,SUB,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYDUUM00028,17:30,1.0,1,0.0, ,0.0025
246,SUC,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYUNPO00023,17:30,1.0,1,0.0, ,0.0032
247,TAU,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTAUWWWWW6,17:45,2.0,1,0.0, ,0.0051
248,TBT,09:00,1.0,1,1000000.0,İşlem Görüyor, ,TRMTE1WWWWW4,17:45,1.0,1,1000000.0, ,0.0002
249,TBV,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTMEWWWWW5,17:45,1.0,1,0.0, ,0.0061
250,TCA,09:00,1.0,500,10000000000.0,İşlem Görüyor, ,TRYTCZB00057,17:45,1.0,500,10000000000.0, ,0.0035
251,TCB,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYTCMD00010,13:15,0.0,1,0.0, ,0.0023
252,TCD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMTCDWWWWW8,17:30,2.0,1,0.0, ,0.01
253,TDG,09:30,1.0,5000,0.0,İşlem Görüyor, ,TRYTISB00034,17:45,3.0,5000,0.0, ,0.0061
